2020-03-03 00:55:12.923 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2020-03-03 00:55:12.956 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2020-03-03 00:55:13.360 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2020-03-03 00:55:13.464 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.4.2, hlaVersion: HLA IEEE 1516-2010
2020-03-03 00:55:15.481 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2020-03-03 00:55:15.486 [main] INFO  skf.core.SEEHLAModule - Join the federate ' FACENS_Space_Probe ' into the Federation execution ' SEE 2019 '.
2019-03-03 01:05:08.274 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2019-03-03 01:05:08.306 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2019-03-03 01:05:08.555 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2019-03-03 01:05:08.647 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.4.2, hlaVersion: HLA IEEE 1516-2010
2019-03-03 01:05:09.858 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2019-03-03 01:05:09.870 [main] INFO  skf.core.SEEHLAModule - Join the federate ' FACENS_Space_Probe ' into the Federation execution ' SEE 2019 '.
2019-02-21 21:47:45.015 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2019-02-21 21:47:45.032 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2019-02-21 21:47:45.247 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2019-02-21 21:47:45.317 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.4.2, hlaVersion: HLA IEEE 1516-2010
2019-02-21 21:47:46.625 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2019-02-21 21:47:46.637 [main] INFO  skf.core.SEEHLAModule - Join the federate ' FACENS_Space_Probe ' into the Federation execution ' SEE 2019 '.
2019-02-20 00:38:34.507 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2019-02-20 00:38:34.512 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2019-02-20 00:38:34.818 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2019-02-20 00:38:34.918 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.4.2, hlaVersion: HLA IEEE 1516-2010
2019-02-20 00:38:37.028 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2019-02-20 00:38:37.044 [main] INFO  skf.core.SEEHLAModule - Join the federate ' FACENS_Space_Probe ' into the Federation execution ' SEE 2019 '.
